vacancy_date,shift_type,role_required,hours
2025-06-02,EARLY,PARAMEDIC,12
2025-06-02,DAY,TECHNICIAN,12
2025-06-02,NIGHT,TECHNICIAN,12
2025-06-03,EARLY,TECHNICIAN,12
2025-06-03,DAY,PARAMEDIC,12
2025-06-03,NIGHT,TECHNICIAN,12
2025-06-04,EARLY,TECHNICIAN,12
2025-06-04,DAY,TECHNICIAN,12
2025-06-04,NIGHT,PARAMEDIC,12
2025-06-05,EARLY,PARAMEDIC,12
2025-06-05,DAY,TECHNICIAN,12
2025-06-05,NIGHT,TECHNICIAN,12
2025-06-06,EARLY,TECHNICIAN,12
2025-06-06,DAY,PARAMEDIC,12
2025-06-06,NIGHT,TECHNICIAN,12
2025-06-07,EARLY,PARAMEDIC,12
2025-06-07,DAY,TECHNICIAN,12
2025-06-07,NIGHT,TECHNICIAN,12
2025-06-08,EARLY,TECHNICIAN,12
2025-06-08,DAY,TECHNICIAN,12
2025-06-08,NIGHT,PARAMEDIC,12
